Date,Open,Close,Volume,gap,upDown
2011-01-26,4.942,4.95,5399500,0.16,0
2011-01-27,4.948,4.984,4478500,0.72,0
2011-01-28,4.976,4.802,5242000,-3.49,-1
2011-01-31,4.81,4.82,4151500,0.2,0
2011-02-01,4.862,4.782,3539000,-1.64,-1
2011-02-02,4.832,4.788,2847500,-0.91,0
2011-02-03,4.764,4.726,2560000,-0.79,0
2011-02-04,4.688,4.692,2720000,0.08,0
2011-02-07,4.652,4.614,4475500,-0.81,0
2011-02-08,4.756,4.898,17524500,2.98,1
2011-02-09,4.826,4.642,13178000,-3.81,-1
2011-02-10,4.652,4.644,4180500,-0.17,0
2011-02-11,4.65,4.65,3172500,0.0,0
2011-02-14,4.728,4.616,6415500,-2.36,-1
2011-02-15,4.602,4.568,4768500,-0.73,0
2011-02-16,4.62,4.946,20575500,7.05,1
2011-02-17,4.926,4.72,13092000,-4.18,-1
2011-02-18,4.666,4.636,11853500,-0.64,0
2011-02-22,4.576,4.374,10323000,-4.41,-1
2011-02-23,4.436,4.366,8028000,-1.57,-1
2011-02-24,4.356,4.506,5276500,3.44,1
2011-02-25,4.562,4.722,6731500,3.5,1
2011-02-28,4.748,4.778,5256000,0.63,0
2011-03-01,4.81,4.788,5532000,-0.45,0
2011-03-02,4.764,4.804,3316500,0.83,0
2011-03-03,4.896,4.872,3201000,-0.49,0
2011-03-04,4.896,4.99,7900500,1.91,1
2011-03-07,4.986,4.988,10168000,0.04,0
2011-03-08,4.92,4.932,6999500,0.24,0
2011-03-09,4.932,4.944,4624000,0.24,0
2011-03-10,4.888,4.802,5085000,-1.75,-1
2011-03-11,4.77,4.814,4654000,0.92,0
2011-03-14,4.764,4.65,5830000,-2.39,-1
2011-03-15,4.44,4.59,6594000,3.37,1
2011-03-16,4.572,4.564,5848500,-0.17,0
2011-03-17,4.648,4.562,4613000,-1.85,-1
2011-03-18,4.638,4.592,3439500,-0.99,0
2011-03-21,4.61,4.546,2058500,-1.38,-1
2011-03-22,4.546,4.438,2914500,-2.37,-1
2011-03-23,4.422,4.442,2114000,0.45,0
2011-03-24,4.428,4.466,2311000,0.85,0
2011-03-25,4.486,4.55,2840000,1.42,1
2011-03-28,4.54,4.65,5290500,2.42,1
2011-03-29,4.66,4.784,3777000,2.66,1
2011-03-30,4.822,4.742,6116500,-1.65,-1
2011-03-31,5.31,5.55,57589000,4.51,1
2011-04-01,5.49,5.332,14324000,-2.87,-1
2011-04-04,5.366,5.166,13046500,-3.72,-1
2011-04-05,5.18,5.34,15904500,3.08,1
2011-04-06,5.398,5.298,6441500,-1.85,-1
2011-04-07,5.37,5.448,14051500,1.45,1
2011-04-08,5.516,5.298,9732000,-3.95,-1
2011-04-11,5.294,5.054,6847000,-4.53,-1
2011-04-12,5.016,4.93,6787000,-1.71,-1
